Entity,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
European Union (27),9378.057,9697.471,10037.798,10755.047,11650.145,12505.596,12905.245,13606.109,14383.952,14238.071,14161.422,15059.237,15271.39,15899.232,16475.826,16196.824,15725.754,15353.108,15419.264,15883.348,16692.807,16937.259,17284.938,17424.478,17476.462,17381.48,17298.632,16968.076,16832.606,16765.351,17182.443,17710.226,17638.375,17822.181,17737.6,17869.008,18218.481,18103.931,18454.385,18703.484,18712.687,18847.88,18609.299,18526.475,17417.715,18074.189,17532.283,17322.297,17171.402,16552.983,16764.915,16952.957,17168.002,17162.934,16871.912,15482.087
Finland,113.727,129.505,136.168,148.151,163.353,180.002,184.667,194.85,214.883,205.663,209.063,222.341,234.601,243.971,263.498,262.415,263.913,260.553,257.881,268.847,282.4,285.674,300.662,298.754,300.146,317.651,324.784,323.398,326.045,342.71,326.128,342.158,345.343,356.652,350.402,351.973,360.007,361.936,387.942,384.638,349.112,375.014,373.635,359.026,333.55,361.879,338.141,328.636,330.514,318.673,316.533,322.118,314.965,321.31,312.568,304.526
France,1301.201,1331.715,1418.668,1496.953,1650.146,1792.15,1864.902,1993.84,2165.874,2125.391,2000.776,2132.8,2156.192,2254.034,2320.736,2290.452,2265.005,2180.74,2233.562,2307.344,2382.86,2440.776,2484.387,2516.268,2551.208,2628.645,2794.175,2815.379,2814.926,2777.65,2844.369,2951.424,2911.245,2979.52,3030.472,3069.369,3105.74,3075.03,3107.154,3132.532,3115.233,3089.17,3034.401,3042.699,2873.238,2958.504,2843.513,2842.631,2870.495,2748.268,2764.936,2718.111,2698.646,2745.109,2686.761,2417.785
Germany,2966.381,2973.843,2966.374,3167.279,3417.025,3607.105,3640.359,3766.865,3983.465,3913.557,3759.603,4012.129,4001.058,4145.719,4375.906,4231.679,4099.002,3953.762,4009.857,4156.767,4278.247,4242.891,4278.467,4292.119,4246.533,4179.817,4078.242,3995.809,3978.084,3940.489,3960.505,4091.457,4038.083,4006.189,3949.307,3974.281,4044.476,3990.886,3987.039,3983.159,3934.878,4031.239,3858.148,3896.481,3653.599,3806.796,3666.761,3713.049,3817.824,3656.791,3721.694,3782.768,3828.368,3732.184,3625.339,3364.175
Greece,79.003,86.34,95.1,98.893,104.354,115.89,138.157,155.037,178.535,174.517,197.929,218.737,226.846,230.647,202.397,200.498,195.907,198.545,199.879,208.625,220.408,220.8,241.582,255.176,276.729,286.995,290.927,296.222,300.113,305.171,316.155,324.009,333.344,354.103,353.852,372.309,375.483,375.703,397.25,397.158,398.453,409.94,418.494,406.027,391.205,372.404,364.722,342.854,321.683,302.666,305.77,299.972,314.429,314.446,331.338,277.864
Hong Kong,26.302,28.526,33.693,36.428,42.8,45.982,48.56,55.154,57.202,58.558,55.127,65.091,70.284,73.017,74.763,76.396,81.409,89.35,94.743,97.063,100.768,105.591,116.02,133.649,142.859,139.358,144.389,169.929,185.502,168.093,180.681,180.591,182.693,186.234,188.622,197.475,249.42,243.433,251.405,281.527,270.09,285.752,304.014,282.853,308.858,321.151,329.299,316.458,325.026,317.54,326.451,335.049,359.259,361.604,344.667,258.124
Hungary,184.962,187.445,178.878,185.59,198.745,214.124,221.08,228.258,247.176,254.747,269.69,288.125,302.953,324.013,320.846,321.819,318.551,319.965,314.305,322.76,332.966,331.353,345.967,337.823,329.047,322.296,300.914,288.636,280.35,282.664,285.877,291.288,284.224,288.535,287.744,279.305,286.106,283.019,283.636,287.833,307.111,302.691,298.428,293.973,270.302,275.332,267.153,249.112,236.416,235.961,248.644,254.049,266.76,268.638,272.143,268.882
Iceland,7.468,7.84,7.76,8.211,8.168,9.85,10.721,11.654,14.07,13.703,13.141,13.575,14.36,14.996,15.624,15.812,16.121,16.503,17.031,17.926,17.743,18.548,19.141,20.186,20.908,20.927,20.427,21.149,21.971,22.216,22.927,24.294,25.449,27.525,30.15,32.013,32.343,33.594,33.759,34.448,34.589,37.973,43.376,54.105,54.02,54.017,54.024,54.559,56.302,56.228,58.684,58.981,61.699,63.922,60.856,57.049
India,616.016,634.827,654.42,699.353,775.249,758.208,788.345,829.996,847.023,897.93,964.774,1011.858,1070.095,1110.77,1173.111,1208.517,1338.549,1326.985,1396.257,1491.057,1574.708,1685.87,1793.761,1952.151,2131.817,2288.399,2414.033,2539.769,2603.079,2742.259,2948.734,3068.282,3238.241,3433.099,3533.03,3712.791,3728.64,3851.15,3989.106,4326.245,4582.609,4825.335,5236.372,5542.541,5957.745,6243.718,6611.914,6954.235,7226.852,7718.489,7967.527,8320.578,8649.976,9204.848,9414.266,8884.38
Indonesia,84.189,83.471,82.42,87.835,99.169,106.206,101.655,107.846,121.595,130.295,159.6,167.777,221.769,245.766,280.505,300.013,325.964,332.312,352.38,381.673,405.757,449.862,475.626,501.967,555.333,611.731,663.549,728.308,769.53,822.671,876.402,934.785,1015.12,997.243,1088.35,1178.326,1260.163,1302.701,1401.985,1395.736,1430.001,1452.015,1560.634,1560.146,1621.028,1777.84,1911.505,2034.531,2100.151,1948.681,1970.077,1992.624,2075.65,2241.485,2403.714,2120.519
Iran,96.982,105.706,116.295,127.867,140.343,165.597,181.403,205.59,245.94,278.882,325.034,365.781,414.229,404.559,437.004,405.055,406.445,458.802,544.98,589.116,642.884,602.01,645.359,658.102,719.769,809.96,879.224,971.774,898.861,1007.509,1056.453,1149.304,1185.069,1234.165,1330.64,1395.884,1491.402,1624.945,1654.504,1829.866,1937.78,2117.057,2250.89,2321.365,2381.935,2421.659,2530.836,2557.998,2651.564,2772.816,2758.947,2890.051,2998.575,3171.842,3325.921,3341.689
